id,название,цена,бренд,скидка,рейтинг,в наличии,id продавца,изображения,отзывы с текстом,рейтинг
197877437,Футболка,1854.0,4:20 Shop,19,4,28,1213098,https://basket-13.wb.ru/vol1978/part197877/197877437/images/big/1.jpg;https://basket-13.wb.ru/vol1978/part197877/197877437/images/big/2.jpg;https://basket-13.wb.ru/vol1978/part197877/197877437/images/big/3.jpg;https://basket-13.wb.ru/vol1978/part197877/197877437/images/big/4.jpg;https://basket-13.wb.ru/vol1978/part197877/197877437/images/big/5.jpg;,4,4.3
169142904,Zip-худи,4041.0,4:20 Shop,19,4,158,1213098,https://basket-12.wb.ru/vol1691/part169142/169142904/images/big/1.jpg;https://basket-12.wb.ru/vol1691/part169142/169142904/images/big/2.jpg;https://basket-12.wb.ru/vol1691/part169142/169142904/images/big/3.jpg;https://basket-12.wb.ru/vol1691/part169142/169142904/images/big/4.jpg;https://basket-12.wb.ru/vol1691/part169142/169142904/images/big/5.jpg;,13,4.0
194406277,Ветровка Arc'teryx,5823.0,4:20 Shop,19,4,140,1213098,https://basket-13.wb.ru/vol1944/part194406/194406277/images/big/1.jpg;https://basket-13.wb.ru/vol1944/part194406/194406277/images/big/2.jpg;https://basket-13.wb.ru/vol1944/part194406/194406277/images/big/3.jpg;https://basket-13.wb.ru/vol1944/part194406/194406277/images/big/4.jpg;https://basket-13.wb.ru/vol1944/part194406/194406277/images/big/5.jpg;https://basket-13.wb.ru/vol1944/part194406/194406277/images/big/6.jpg;,4,4.2
209130484,Zip - худи,4203.0,4:20 Shop,19,0,120,1213098,https://basket-13.wb.ru/vol2091/part209130/209130484/images/big/1.jpg;https://basket-13.wb.ru/vol2091/part209130/209130484/images/big/2.jpg;https://basket-13.wb.ru/vol2091/part209130/209130484/images/big/3.jpg;https://basket-13.wb.ru/vol2091/part209130/209130484/images/big/4.jpg;https://basket-13.wb.ru/vol2091/part209130/209130484/images/big/5.jpg;,0,
203739542,Zip-худи,4203.0,4:20 Shop,19,5,120,1213098,https://basket-13.wb.ru/vol2037/part203739/203739542/images/big/1.jpg;https://basket-13.wb.ru/vol2037/part203739/203739542/images/big/2.jpg;https://basket-13.wb.ru/vol2037/part203739/203739542/images/big/3.jpg;https://basket-13.wb.ru/vol2037/part203739/203739542/images/big/4.jpg;https://basket-13.wb.ru/vol2037/part203739/203739542/images/big/5.jpg;https://basket-13.wb.ru/vol2037/part203739/203739542/images/big/6.jpg;https://basket-13.wb.ru/vol2037/part203739/203739542/images/big/7.jpg;https://basket-13.wb.ru/vol2037/part203739/203739542/images/big/8.jpg;,0,
195989926,Zip-худи GAP,3879.0,4:20 Shop,19,4,126,1213098,https://basket-13.wb.ru/vol1959/part195989/195989926/images/big/1.jpg;https://basket-13.wb.ru/vol1959/part195989/195989926/images/big/2.jpg;https://basket-13.wb.ru/vol1959/part195989/195989926/images/big/3.jpg;https://basket-13.wb.ru/vol1959/part195989/195989926/images/big/4.jpg;https://basket-13.wb.ru/vol1959/part195989/195989926/images/big/5.jpg;https://basket-13.wb.ru/vol1959/part195989/195989926/images/big/6.jpg;,0,
208506365,Футболка,1854.0,4:20 Shop,19,4,18,1213098,https://basket-13.wb.ru/vol2085/part208506/208506365/images/big/1.jpg;https://basket-13.wb.ru/vol2085/part208506/208506365/images/big/2.jpg;https://basket-13.wb.ru/vol2085/part208506/208506365/images/big/3.jpg;https://basket-13.wb.ru/vol2085/part208506/208506365/images/big/4.jpg;https://basket-13.wb.ru/vol2085/part208506/208506365/images/big/5.jpg;https://basket-13.wb.ru/vol2085/part208506/208506365/images/big/6.jpg;,0,
201082229,Zip - худи,5256.0,4:20 Shop,19,3,120,1213098,https://basket-13.wb.ru/vol2010/part201082/201082229/images/big/1.jpg;https://basket-13.wb.ru/vol2010/part201082/201082229/images/big/2.jpg;https://basket-13.wb.ru/vol2010/part201082/201082229/images/big/3.jpg;https://basket-13.wb.ru/vol2010/part201082/201082229/images/big/4.jpg;https://basket-13.wb.ru/vol2010/part201082/201082229/images/big/5.jpg;,3,3.3
196032089,Zip - худи,4203.0,4:20 Shop,19,3,120,1213098,https://basket-13.wb.ru/vol1960/part196032/196032089/images/big/1.jpg;https://basket-13.wb.ru/vol1960/part196032/196032089/images/big/2.jpg;https://basket-13.wb.ru/vol1960/part196032/196032089/images/big/3.jpg;https://basket-13.wb.ru/vol1960/part196032/196032089/images/big/4.jpg;https://basket-13.wb.ru/vol1960/part196032/196032089/images/big/5.jpg;https://basket-13.wb.ru/vol1960/part196032/196032089/images/big/6.jpg;,0,
196156144,Zip - худи,4203.0,4:20 Shop,19,5,120,1213098,https://basket-13.wb.ru/vol1961/part196156/196156144/images/big/1.jpg;https://basket-13.wb.ru/vol1961/part196156/196156144/images/big/2.jpg;https://basket-13.wb.ru/vol1961/part196156/196156144/images/big/3.jpg;https://basket-13.wb.ru/vol1961/part196156/196156144/images/big/4.jpg;https://basket-13.wb.ru/vol1961/part196156/196156144/images/big/5.jpg;https://basket-13.wb.ru/vol1961/part196156/196156144/images/big/6.jpg;,0,5.0
195998659,Zip-худи Lyle & Scott,4203.0,4:20 Shop,19,4,126,1213098,https://basket-13.wb.ru/vol1959/part195998/195998659/images/big/1.jpg;https://basket-13.wb.ru/vol1959/part195998/195998659/images/big/2.jpg;https://basket-13.wb.ru/vol1959/part195998/195998659/images/big/3.jpg;https://basket-13.wb.ru/vol1959/part195998/195998659/images/big/4.jpg;https://basket-13.wb.ru/vol1959/part195998/195998659/images/big/5.jpg;https://basket-13.wb.ru/vol1959/part195998/195998659/images/big/6.jpg;,35,4.0
198233319,"Джинсы ""Polar Big Boy""",4203.0,4:20 Shop,19,4,32,1213098,https://basket-13.wb.ru/vol1982/part198233/198233319/images/big/1.jpg;https://basket-13.wb.ru/vol1982/part198233/198233319/images/big/2.jpg;https://basket-13.wb.ru/vol1982/part198233/198233319/images/big/3.jpg;https://basket-13.wb.ru/vol1982/part198233/198233319/images/big/4.jpg;https://basket-13.wb.ru/vol1982/part198233/198233319/images/big/5.jpg;https://basket-13.wb.ru/vol1982/part198233/198233319/images/big/6.jpg;https://basket-13.wb.ru/vol1982/part198233/198233319/images/big/7.jpg;,101,3.8
164876231,Футболка,2664.0,4:20 Shop,19,5,18,1213098,https://basket-11.wb.ru/vol1648/part164876/164876231/images/big/1.jpg;https://basket-11.wb.ru/vol1648/part164876/164876231/images/big/2.jpg;https://basket-11.wb.ru/vol1648/part164876/164876231/images/big/3.jpg;https://basket-11.wb.ru/vol1648/part164876/164876231/images/big/4.jpg;https://basket-11.wb.ru/vol1648/part164876/164876231/images/big/5.jpg;https://basket-11.wb.ru/vol1648/part164876/164876231/images/big/6.jpg;https://basket-11.wb.ru/vol1648/part164876/164876231/images/big/7.jpg;,0,
